"congener","Average_Sampling_Rate","SD_Sampling_Rate","CV_Sampling_Rate"
"PCB1",0.511166666666667,0.193162539501495,37.7885633194969
"PCB2",0.6064,0.194307230951398,32.0427491674469
"PCB3",0.5325,0.169774850905545,31.8826011090225
"PCB4",0.4648,0.149032546780896,32.0638009425336
"PCB5",0.5732,0.208713200349187,36.4119330685951
"PCB6",0.612,0.173820309515315,28.4020113587116
"PCB7",0.5994,0.151552961040027,25.2841109509555
"PCB8",0.6276,0.186682350531591,29.745435075142
"PCB9",0.568,0.161091588855533,28.3611952210445
"PCB10",0.4688,0.163843522911344,34.9495569350136
"PCB11",1.06466666666667,0.330170057192754,31.0115895923063
"PCB12.13",0.7505,0.256968285980975,34.2396117229813
"PCB15",0.924333333333333,0.320522490110549,34.6760717753929
"PCB16",1.0515,0.42959038629839,40.8550058296139
"PCB17",0.9926,0.426777225259268,42.9958921276716
"PCB18.30",0.918833333333333,0.321836242003082,35.0266180304461
"PCB19",0.7284,0.223444176473678,30.6760264241732
"PCB20.28",1.59433333333333,0.814601415826579,51.0935447936386
"PCB21.33",1.51266666666667,0.725222080928778,47.9432843275966
"PCB22",1.52533333333333,0.730070316248145,47.8630015022822
"PCB23",4.7925,4.01059742016905,83.6848705303923
"PCB24",0.8624,0.330222349334505,38.2910887447246
"PCB25",1.0365,0.50033622028925,48.2717048035939
"PCB26.29",1.01216666666667,0.38105454552684,37.6474110515567
"PCB27",0.757666666666667,0.386996554678893,51.0774159277025
"PCB31",1.275,0.536834797679882,42.1046900141084
"PCB32",1.17516666666667,0.497976873626343,42.3749998831096
"PCB34",1.171,0.281428498912246,24.0331766790987
"PCB35",1.30733333333333,0.935318840467428,71.5440214533983
"PCB37",1.74383333333333,0.796331693873016,45.6655850448064
"PCB38",1.13366666666667,0.69521243755656,61.3242373616489
"PCB39",1.35825,0.67719931827097,49.858223321993
"PCB40.71",1.14866666666667,0.543812345084834,47.3429203498114
"PCB41",1.481,0.766439821512426,51.7515071919262
"PCB42",1.16,0.493477456425316,42.5411600366652
"PCB43",1.028,0.421429313962219,40.9950694515777
"PCB44.47.65",0.972666666666667,0.494156925142881,50.804344600022
"PCB45",1.0544,0.441890031568941,41.9091456343837
"PCB46",0.9942,0.444000225225168,44.6590449834207
"PCB48",1.15166666666667,0.447455770626178,38.8528889111008
"PCB49.69",0.955833333333333,0.464700082490488,48.6172710539308
"PCB50.53",0.8594,0.409040095834137,47.5960083586382
"PCB51",1.0415,0.252437120883597,24.2378416594909
"PCB52",0.892666666666667,0.460084629896138,51.5404738494554
"PCB54",0.977,0.286405307213396,29.314770441494
"PCB56",1.45042857142857,0.844927582132113,58.2536499056909
"PCB57",1.27333333333333,0.915113836270293,71.8675787646827
"PCB59.62.75",1.0974,0.578163298731422,52.6848276591418
"PCB58",1.19075,0.719547716740639,60.4281097409732
"PCB60",1.60042857142857,0.789574538837818,49.335193893285
"PCB61.70.74.76",1.24285714285714,0.69428390652322,55.8619235133625
"PCB63",1.298,0.665994244219373,51.3092638073477
"PCB64",1.074,0.528315436079621,49.1913813854396
"PCB66",1.2835,0.734169939455437,57.2006185785303
"PCB67",1.33866666666667,1.00255939142443,74.8923848175624
"PCB68",2.595,0.417193000900063,16.0768015761103
"PCB72",1.23925,0.67905001043124,54.7952398976187
"PCB77",3.0765,2.11587861970703,68.7755117733474
"PCB79",1.5665,1.01399983563444,64.7302799638964
"PCB82",1.55385714285714,1.08087656226654,69.5608709742191
"PCB83",0.844,0.087641314458422,10.3840419974434
"PCB84",1.13528571428571,0.688783883446207,60.6705320765503
"PCB85.116",1.50885714285714,1.05883748022244,70.1747998632559
"PCB86.97.109.119",1.34557142857143,0.965502780445307,71.754108324845
"PCB87.125",1.42214285714286,0.988752821921203,69.5255625660314
"PCB89",1.523,0.732185085890173,48.0751862042136
"PCB90.101.113",1.24485714285714,0.817336411475599,65.6570447593435
"PCB91",1.1,0.796218248974488,72.3834771794989
"PCB92",1.20516666666667,0.854006654931135,70.8621204478884
"PCB93.100",1.1348,0.653756223679744,57.6098187944787
"PCB94",0.9705,0.647491698788486,66.717331147706
"PCB95",1.06983333333333,0.686045601011089,64.126399845249
"PCB96",0.895833333333333,0.525778819149903,58.6915891144078
"PCB99",1.27657142857143,0.821668192792942,64.3652344399126
"PCB102",1.027,0.646435766337229,62.9440863035276
"PCB103",1.061,0.679605032353352,64.0532546987136
"PCB104",3.675,0.162634559672906,4.42543019518111
"PCB105",2.29633333333333,2.05772123152449,89.6089954213017
"PCB107",1.95933333333333,1.71444996038574,87.5016992371082
"PCB108.124",1.85057142857143,1.38141556107529,74.6480540954687
"PCB110",1.50228571428571,1.0299671053462,68.5600013068032
"PCB114",1.91016666666667,1.62235389686303,84.9325833799685
"PCB117",1.3078,0.80195336522768,61.320795628359
"PCB118",1.92583333333333,1.62782805193505,84.5259049035942
"PCB122",2.19716666666667,1.90823902241482,86.8499896418791
"PCB123",1.8932,1.76846860305746,93.4116101340302
"PCB128.166",2.2524,1.83511274857977,81.4736613647563
"PCB129.138.163",2.84483333333333,2.63331809067318,92.5649337631912
"PCB130",2.73671428571429,2.28641325473515,83.5459246392756
"PCB131",1.94671428571429,1.47916042788758,75.9824098863511
"PCB132",2.23414285714286,1.72667796925883,77.2859248341444
"PCB133",2.2868,1.98076278236441,86.6172285448841
"PCB134",1.92585714285714,1.38112399015819,71.7147684230199
"PCB135.151",1.721,1.30915331416912,76.0693384177294
"PCB136",1.39816666666667,1.04014545457194,74.3935239889336
"PCB137",2.48716666666667,2.29350216190582,92.2134488469806
"PCB139.140",1.854,1.39854209804353,75.4337701210103
"PCB141",2.445,2.01134076343783,82.2634259074776
"PCB144",1.72071428571429,1.22897799197622,71.4225483091204
"PCB145",1.3616,1.01915862357142,74.8500751741645
"PCB146",2.26657142857143,1.76799197369434,78.0029233320333
"PCB147.149",1.87128571428571,1.35891558657209,72.6193534315951
"PCB148",1.88366666666667,1.40945391316401,74.825017510034
"PCB150",1.35875,1.08018003900584,79.4980709479922
"PCB152",1.24516666666667,0.888754278001893,71.3763307189313
"PCB153.168",2.42157142857143,1.87654930276673,77.4930394629643
"PCB154",1.55314285714286,1.18481340704932,76.2848955973622
"PCB156.157",2.7616,2.34981973776713,85.0890692992155
"PCB158",3.362,2.55618270082559,76.03160918577
"PCB159",3.3715,3.50512831434172,103.963467724802
"PCB164",3.12442857142857,2.71581122669592,86.921853536059
"PCB167",2.4238,2.11438459131729,87.2342846487868
"PCB170",5.51,3.42401323984979,62.1418010862031
"PCB171.173",3.02783333333333,1.94481982884448,64.2314029452682
"PCB172",4.53333333333333,2.91657904630293,64.3363024919765
"PCB174",2.991,1.81152256403281,60.5657828162089
"PCB175",3.328,2.93347541322575,88.1452948685623
"PCB176",2.48166666666667,1.8770446629387,75.6364538457503
"PCB177",3.0346,2.16992068979491,71.5059872732784
"PCB178",3.15057142857143,2.33993638497167,74.2702217049138
"PCB179",2.2635,1.75996065296926,77.7539497667004
"PCB180.193",3.34,2.74764444570254,82.264803763549
"PCB183",3.46371428571429,2.73193275382623,78.8729245103671
"PCB185",3.41,3.39411254969543,99.5340923664348
"PCB187",3.29866666666667,2.8631847070468,86.7982429379588
"PCB190",6.065,3.42946788875476,56.5452248764181
"PCB195",8.4,5.939696961967,70.7106781186547
"PCB196",5.68666666666667,5.45157163883346,95.8658553136013
"PCB198.199",6.545,4.87196572237531,74.4379789514945
"PCB200",7.95,6.31486341895056,79.4322442635291
"PCB201",4.395,4.00574171242564,91.1431561416527
"PCB202",4.355,4.05903518913875,93.2040227127153
"PCB203",6.925,5.33865619795843,77.092508273768
"PCB206",3.431,4.00797754484728,116.816599966403
