"","congener","Sampling Rate (m3/d)","R2","p-value"
"1","PCB1",NA,NA,NA
"2","PCB2",NA,NA,NA
"3","PCB3",NA,NA,NA
"4","PCB4",0.931,0.945,0.00364
"5","PCB5",0.811,0.972,0.00131
"6","PCB6",1.07,0.967,0.00168
"7","PCB7",1.05,0.974,0.00116
"8","PCB8",1.08,0.963,0.00197
"9","PCB9",1.01,0.945,0.00363
"10","PCB10",1.33,0.977,0.000972
"11","PCB11",NA,NA,NA
"12","PCB12.13",1.36,0.977,0.000958
"13","PCB14",1.23,0.921,0.00625
"14","PCB15",0.807,0.928,0.00537
"15","PCB16",0.935,0.991,0.00022
"16","PCB17",1.01,0.983,0.000629
"17","PCB18.30",1.09,0.997,5.12e-05
"18","PCB19",1.26,0.993,0.000171
"19","PCB20.28",1.02,1,1.76e-06
"20","PCB21.33",0.967,1,8.26e-08
"21","PCB22",0.932,0.999,4.63e-06
"22","PCB23",NA,NA,NA
"23","PCB24",1.56,0.986,0.000474
"24","PCB25",1.12,0.979,0.000869
"25","PCB26.29",1.09,0.971,0.00136
"26","PCB27",1.09,0.998,3.34e-05
"27","PCB31",1.07,0.987,0.000405
"28","PCB32",1.04,0.993,0.000157
"29","PCB34",4.07,0.937,0.00439
"30","PCB35",NA,NA,NA
"31","PCB36",1.1,0.984,0.000573
"32","PCB37",1.03,0.964,0.00192
"33","PCB38",0.961,0.956,0.00255
"34","PCB39",0.856,0.939,0.00417
"35","PCB40.71",1.18,0.977,0.000958
"36","PCB41",2.55,0.991,0.000255
"37","PCB42",1.24,0.991,0.000256
"38","PCB43",NA,NA,NA
"39","PCB44.47.65",1.11,0.993,0.000157
"40","PCB45.51",1.05,0.993,0.000168
"41","PCB46",1.56,0.981,0.000706
"42","PCB48",1.13,0.995,9.43e-05
"43","PCB49.69",1.06,0.991,0.000226
"44","PCB50.53",1.14,0.989,0.000336
"45","PCB52",1.07,0.994,0.000117
"46","PCB54",NA,NA,NA
"47","PCB55",1.31,0.954,0.00271
"48","PCB56",0.91,0.992,2e-04
"49","PCB57",NA,NA,NA
"50","PCB58",NA,NA,NA
"51","PCB59.62.75",1.14,0.973,0.00123
"52","PCB60",0.79,0.983,0.000614
"53","PCB61.70.74.76",1.25,0.904,0.00833
"54","PCB63",2.63,0.92,0.00634
"55","PCB64",1.16,0.99,0.000281
"56","PCB66",1.05,0.958,0.00242
"57","PCB67",NA,NA,NA
"58","PCB68",NA,NA,NA
"59","PCB72",2.23,0.965,0.00179
"60","PCB73",NA,NA,NA
"61","PCB77",NA,NA,NA
"62","PCB78",NA,NA,NA
"63","PCB79",NA,NA,NA
"64","PCB80",NA,NA,NA
"65","PCB81",NA,NA,NA
"66","PCB82",0.952,0.997,4.21e-05
"67","PCB83",0.765,0.962,0.00202
"68","PCB84",0.905,0.98,0.000758
"69","PCB85.116",NA,NA,NA
"70","PCB86.97.109.119",1.11,0.994,0.00012
"71","PCB87.125",1.04,0.985,0.000484
"72","PCB88",NA,NA,NA
"73","PCB89",0.845,0.999,1.01e-05
"74","PCB90.101.113",0.933,0.991,0.000241
"75","PCB91",0.892,0.985,0.000483
"76","PCB92",0.86,0.992,0.000197
"77","PCB93.100",NA,NA,NA
"78","PCB94",2.01,0.972,0.00127
"79","PCB95",0.936,0.994,0.000132
"80","PCB96",1.79,0.995,8.69e-05
"81","PCB98",2.1,0.905,0.00821
"82","PCB99",1.02,0.999,7.87e-06
"83","PCB102",1.05,0.951,0.00301
"84","PCB103",1.83,0.994,0.000141
"85","PCB104",NA,NA,NA
"86","PCB105",1.03,0.997,4.78e-05
"87","PCB106",NA,NA,NA
"88","PCB107",1.17,0.957,0.00249
"89","PCB108.124",1.2,0.988,0.000359
"90","PCB110",0.744,0.987,0.000408
"91","PCB111",NA,NA,NA
"92","PCB112",1.15,0.905,0.00824
"93","PCB114",0.602,0.974,0.00115
"94","PCB115",NA,NA,NA
"95","PCB117",0.859,0.954,0.00276
"96","PCB118",1.24,0.985,0.000483
"97","PCB120",2.26,0.91,0.00754
"98","PCB121",NA,NA,NA
"99","PCB122",0.686,0.988,0.000374
"100","PCB123",1.97,0.904,0.00834
"101","PCB126",NA,NA,NA
"102","PCB127",5.1,0.907,0.00796
"103","PCB128.166",0.939,0.983,0.000597
"104","PCB129.138.163",1.09,0.996,6.21e-05
"105","PCB130",1.21,0.97,0.00142
"106","PCB131",1.01,0.982,0.000651
"107","PCB132",0.989,0.991,0.000244
"108","PCB133",1.11,0.932,0.00492
"109","PCB134",1.16,0.97,0.00146
"110","PCB135.151",0.859,0.992,0.000212
"111","PCB136",0.904,0.993,0.000177
"112","PCB137",1.13,0.997,4e-05
"113","PCB139.140",1.09,0.953,0.00285
"114","PCB141",1.12,0.991,0.000232
"115","PCB142",NA,NA,NA
"116","PCB143",NA,NA,NA
"117","PCB144",0.964,0.983,0.000591
"118","PCB145",NA,NA,NA
"119","PCB146",1,0.995,9.62e-05
"120","PCB147.149",0.915,0.984,0.00057
"121","PCB148",NA,NA,NA
"122","PCB150",2.78,0.945,0.00356
"123","PCB152",NA,NA,NA
"124","PCB153.168",1.08,0.992,0.000207
"125","PCB154",1.1,0.943,0.00379
"126","PCB155",NA,NA,NA
"127","PCB156.157",NA,NA,NA
"128","PCB158",1.19,0.991,0.000225
"129","PCB159",NA,NA,NA
"130","PCB160",NA,NA,NA
"131","PCB161",2.32,0.962,0.00208
"132","PCB162",NA,NA,NA
"133","PCB164",1.16,0.965,0.00184
"134","PCB165",NA,NA,NA
"135","PCB167",1.25,0.918,0.00657
"136","PCB169",NA,NA,NA
"137","PCB170",1.44,0.913,0.00719
"138","PCB171.173",NA,NA,NA
"139","PCB172",NA,NA,NA
"140","PCB174",1.48,0.963,0.00198
"141","PCB175",NA,NA,NA
"142","PCB176",1.17,0.955,0.00263
"143","PCB177",1.17,0.928,0.0054
"144","PCB178",NA,NA,NA
"145","PCB179",1.04,0.973,0.00121
"146","PCB180.193",1.19,0.904,0.00838
"147","PCB181",NA,NA,NA
"148","PCB182",NA,NA,NA
"149","PCB183",1.09,0.949,0.00318
"150","PCB184",NA,NA,NA
"151","PCB185",NA,NA,NA
"152","PCB186",NA,NA,NA
"153","PCB187",1.03,0.969,0.00151
"154","PCB188",NA,NA,NA
"155","PCB189",NA,NA,NA
"156","PCB190",NA,NA,NA
"157","PCB191",NA,NA,NA
"158","PCB192",NA,NA,NA
"159","PCB194",NA,NA,NA
"160","PCB195",NA,NA,NA
"161","PCB196",NA,NA,NA
"162","PCB197",NA,NA,NA
"163","PCB198.199",NA,NA,NA
"164","PCB200",NA,NA,NA
"165","PCB201",NA,NA,NA
"166","PCB202",NA,NA,NA
"167","PCB203",NA,NA,NA
"168","PCB205",NA,NA,NA
"169","PCB206",NA,NA,NA
"170","PCB207",NA,NA,NA
"171","PCB208",NA,NA,NA
"172","PCB209",NA,NA,NA
