"","Congener","shapiro.normal","shapiro.log10"
"1","PCB1","0.0223","0.000373"
"2","PCB2","0.000599","0.0143"
"3","PCB3","0.242","0.00978"
"4","PCB4","0.341","0.122"
"5","PCB5","0.0837","0.000142"
"6","PCB6","0.483","0.011"
"7","PCB7","0.224","0.000517"
"8","PCB8","0.799","0.661"
"9","PCB9","0.125","0.000538"
"10","PCB10","0.00238","1.02e-05"
"11","PCB11","0.00271","0.0523"
"12","PCB12.13","0.731","0.00252"
"13","PCB14","0.475","0.00126"
"14","PCB15","0.651","0.157"
"15","PCB16","0.0306","0.0034"
"16","PCB17","0.095","0.0135"
"17","PCB18.30","0.158","0.00559"
"18","PCB19","0.0234","7.85e-05"
"19","PCB20.28","0.0168","0.0055"
"20","PCB21.33","0.123","0.0161"
"21","PCB22","0.198","0.0234"
"22","PCB23","0.212","0.000131"
"23","PCB24","0.0645","6.87e-05"
"24","PCB25","0.57","0.0194"
"25","PCB26.29","0.35","0.00323"
"26","PCB27","0.053","0.000373"
"27","PCB31","0.125","0.0175"
"28","PCB32","0.674","0.1"
"29","PCB34","0.267","0.000193"
"30","PCB35","0.0351","0.0056"
"31","PCB36","0.189","0.113"
"32","PCB37","0.58","0.197"
"33","PCB38","0.917","0.00174"
"34","PCB39","0.786","0.141"
"35","PCB40.71","0.186","0.00322"
"36","PCB41","0.338","0.00507"
"37","PCB42","0.656","0.00298"
"38","PCB43","0.635","0.000895"
"39","PCB44.47.65","0.748","0.148"
"40","PCB45","0.0268","0.0576"
"41","PCB46","0.0632","0.000688"
"42","PCB48","0.328","0.00428"
"43","PCB49.69","0.675","0.0817"
"44","PCB50.53","0.173","0.0188"
"45","PCB51","0.655","0.0705"
"46","PCB52","0.143","0.147"
"47","PCB54","0.308","0.000513"
"48","PCB55","0.435","0.0403"
"49","PCB56","0.301","0.23"
"50","PCB57","0.59","0.0181"
"51","PCB59.62.75","0.152","9.47e-05"
"52","PCB58","0.0364","0.000584"
"53","PCB60","0.476","0.817"
"54","PCB61.70.74.76","0.742","0.136"
"55","PCB63","0.179","0.000708"
"56","PCB64","0.42","0.133"
"57","PCB66","0.529","0.103"
"58","PCB67","0.969","0.0232"
"59","PCB68","0.00846","0.000375"
"60","PCB72","0.0836","0.00431"
"61","PCB73","0.626","0.00345"
"62","PCB77","0.287","0.00209"
"63","PCB78","0.745","0.0244"
"64","PCB79","0.586","0.419"
"65","PCB80","0.586","0.51"
"66","PCB81","0.36","0.142"
"67","PCB82","0.162","0.121"
"68","PCB83","0.0423","0.374"
"69","PCB84","0.268","0.0516"
"70","PCB85.116","0.00204","0.22"
"71","PCB86.97.109.119","0.389","0.0752"
"72","PCB87.125","0.00495","0.473"
"73","PCB88","0.5","0.0708"
"74","PCB89","0.558","0.0815"
"75","PCB90.101.113","0.211","0.933"
"76","PCB91","0.797","0.0147"
"77","PCB92","4.41e-07","0.0324"
"78","PCB93.100","0.278","0.000879"
"79","PCB94","0.349","0.00483"
"80","PCB95","0.13","0.111"
"81","PCB96","0.391","0.00273"
"82","PCB98","0.0219","0.398"
"83","PCB99","0.0821","1.55e-05"
"84","PCB102","0.63","0.0377"
"85","PCB103","0.274","0.572"
"86","PCB104","0.00805","3.46e-05"
"87","PCB105","0.172","0.261"
"88","PCB106","4.48e-05","0.679"
"89","PCB107","0.734","0.0109"
"90","PCB108.124","0.162","0.0229"
"91","PCB110","0.212","0.0154"
"92","PCB111","0.156","0.0412"
"93","PCB112","4.09e-05","0.0957"
"94","PCB114","0.0144","0.154"
"95","PCB115","0.00166","0.415"
"96","PCB117","0.0577","0.384"
"97","PCB118","0.000194","0.394"
"98","PCB120","0.205","0.00715"
"99","PCB121","0.134","0.0098"
"100","PCB122","0.188","0.0283"
"101","PCB123","0.217","0.0218"
"102","PCB126","0.188","0.186"
"103","PCB127","0.0243","0.0718"
"104","PCB128.166","0.00102","0.412"
"105","PCB129.138.163","0.0014","0.265"
"106","PCB130","0.304","0.714"
"107","PCB131","0.0833","0.257"
"108","PCB132","0.0856","0.712"
"109","PCB133","0.00273","0.723"
"110","PCB134","0.035","0.42"
"111","PCB135.151","0.25","0.416"
"112","PCB136","0.302","0.217"
"113","PCB137","0.365","0.359"
"114","PCB139.140","0.0305","0.0783"
"115","PCB141","0.0824","0.0343"
"116","PCB142","0.079","0.289"
"117","PCB143","0.00158","0.0251"
"118","PCB144","0.124","0.175"
"119","PCB145","0.0524","0.0948"
"120","PCB146","0.961","0.376"
"121","PCB147.149","0.0411","0.191"
"122","PCB148","0.141","0.054"
"123","PCB150","0.754","0.000115"
"124","PCB152","0.451","0.182"
"125","PCB153.168","0.136","0.967"
"126","PCB154","0.102","0.0661"
"127","PCB155","0.179","0.0504"
"128","PCB156.157","5.75e-09","9.59e-05"
"129","PCB158","0.214","0.0913"
"130","PCB159","0.00452","0.42"
"131","PCB160","0.0294","0.743"
"132","PCB161","0.00779","0.0874"
"133","PCB162","0.221","0.706"
"134","PCB164","6.48e-05","0.0491"
"135","PCB165","0.00429","0.18"
"136","PCB167","0.387","0.277"
"137","PCB169","0.0963","0.00336"
"138","PCB170","0.822","0.224"
"139","PCB171.173","0.00116","0.255"
"140","PCB172","0.691","0.229"
"141","PCB174","0.29","0.206"
"142","PCB175","0.041","0.0348"
"143","PCB176","0.168","0.228"
"144","PCB177","0.0168","0.43"
"145","PCB178","0.791","0.151"
"146","PCB179","0.413","0.135"
"147","PCB180.193","0.315","0.04"
"148","PCB181","0.0034","0.586"
"149","PCB182","0.0108","0.887"
"150","PCB183","0.612","0.327"
"151","PCB184","0.00142","0.0291"
"152","PCB185","0.295","0.000185"
"153","PCB186","0.0535","0.311"
"154","PCB187","0.854","0.619"
"155","PCB188","0.0292","0.0389"
"156","PCB189","0.862","0.00337"
"157","PCB190","0.017","0.0523"
"158","PCB191","0.277","0.63"
"159","PCB192","0.347","0.107"
"160","PCB194","0.0144","0.000341"
"161","PCB195","0.362","0.00234"
"162","PCB196","0.448","0.0593"
"163","PCB197","0.37","0.841"
"164","PCB198.199","0.446","0.0138"
"165","PCB200","0.057","0.309"
"166","PCB201","0.19","0.277"
"167","PCB202","0.0177","0.0377"
"168","PCB203","0.41","0.312"
"169","PCB205","0.226","0.0831"
"170","PCB206","0.218","0.00601"
"171","PCB207","0.0904","0.106"
"172","PCB208","0.179","0.0149"
"173","PCB209","0.666","0.00407"
